Variable,Importancia,STD
DFA,0.36150515981357384,0.018164796140097365
HNR,0.2141222870280055,0.014746211523226459
PPE,0.19280452294405903,0.013928285202219991
Jitter(Abs),0.18437581059621835,0.01584164283604895
test_time,0.08353487389920544,0.0056151469322130105
RPDE,0.07218469803184059,0.009801255589385353
Shimmer:APQ11,0.06508126208816938,0.004286098613746352
NHR,0.05071045885002399,0.008327665212699013
Jitter:PPQ5,0.03411931666311776,0.004343815540974976
Jitter(%),0.03131553721538101,0.002936898384726062
Jitter:DDP,0.021447517627345935,0.002001079126797093
Jitter:RAP,0.018310708992751633,0.0017672858183922669
Shimmer:DDA,0.013259886256142639,0.004201257172061263
Shimmer:APQ5,0.012456934555992893,0.0029839336636795764
Shimmer(dB),0.01218691933274203,0.0022775087356953208
Shimmer:APQ3,0.010594780349719191,0.0034593463262513674
Shimmer,0.006071983268977732,0.0016012570185287023
